Unnamed: 0;Name;Diet Label;Cuisine Label;Fat Label;Price Label;Images;personas
190;Lentil Dal;Vegetarian;Asian;Low Fat;Low Price;"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/3/picjGKQRO.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/3/piczjFzcO.jpg"")";Green Health Freak
191;Couscous Cakes With Tomato-Garlic Ragout;No Label;European;High Fat;High Price;character(0);Fat Craver
192;Spanakopita;No Label;European;High Fat;High Price;"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/6/picxbWNQR.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/6/9EIdCEP1QlesimoH26YN_Crab_Dip.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/6/pickTwNB0.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/6/picg4p81W.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/6/picAzsUt2.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/6/pich4edRN.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/6/picbFuxcC.jpg"")";Fat Craver
193;Dublin Coddle II;Meat;European;Low Fat;High Price;"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/7/pPz9Z7FDSAlhXaPL11pe_image.jpg""";None
194;Maple Salmon;No Label;Asian;Low Fat;Low Price;character(0);Healthy Asian
195;Seared Salmon with Horseradish Tomato Vinaigrette;No Label;European;High Fat;Low Price;character(0);Fat Craver
196;Apricot Chicken With Pasta;Meat;European;High Fat;Low Price;"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/25/0/pico7fh1h.jpg""";Fat Craver
197;Italian Sausage Soup;Meat;European;Low Fat;Low Price;"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/25/1/picRSGryq.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/25/1/picKpJkP0.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/25/1/picbsZNME.jpg"")";None
198;Olive Garden Pasta E Fagioli;No Label;American;Low Fat;Low Price;"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/25/2/picY6RiAl.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/25/2/picWdQjhQ.jpg"")";None
199;Tomato and Herb Salad;No Label;European;Low Fat;High Price;character(0);None
